# ----------------------------------------
# iRozhlas
# Queries
# 20181217-20181223
# ----------------------------------------

Search Query,Clicks,Impressions,CTR,Average Position
irozhlas,"2,970","3,260",91.10%,1.0
irozhlas cz,"1,416","2,648",53.47%,1.0
bramborový salát,624,"21,101",2.96%,3.3
irozhlas.cz,434,618,70.23%,1.0
sportovec roku 2018,320,"2,811",11.38%,2.9
betlémské světlo,311,"4,205",7.40%,3.1
důlní neštěstí,268,"1,518",17.65%,3.1
rozhlas,187,"2,411",7.76%,4.4
bramborový salát recept,156,"4,410",3.54%,3.7
tonda blaník,149,"1,698",8.78%,1.3
gabriela koukalová,142,"4,614",3.08%,4.8
vybuch v dole,141,657,21.46%,1.8
astronomická zima,139,"2,353",5.91%,1.0
miss universe 2018,136,"2,777",4.90%,6.1
důl čsm,131,"1,663",7.88%,1.7
vybuch csm,129,707,18.25%,2.1
diamo,123,"2,727",4.51%,6.0
nejčastější jména 2018,118,200,59.00%,1.0
martin kovář,116,685,16.93%,3.2
bramborovy salat,115,"4,201",2.74%,2.7
i rozhlas,115,195,58.97%,1.0
kometa 46p wirtanen,113,"1,224",9.23%,1.9
vybuch na csm,112,364,30.77%,1.9
jihomoravský kraj logo,111,532,20.86%,2.2
nové město na moravě,108,"2,815",3.84%,2.4
okd,108,903,11.96%,3.6
filmy 2018,103,"20,669",0.50%,6.6
teplice prepadeni,98,439,22.32%,2.2
lea šteflíčková miss universe,97,"2,246",4.32%,3.2
výbuch v dole,96,405,23.70%,2.5
logo jihomoravský kraj,95,288,32.99%,2.2
prepadeni v teplicich,92,255,36.08%,1.4
jihomoravsky kraj logo,90,327,27.52%,2.1
indonésie,88,"2,215",3.97%,4.7
zprávy z domova,85,"1,437",5.92%,5.7
bramborový salat,79,"1,333",5.93%,1.5
jagr,78,583,13.38%,6.3
bioparox,76,685,11.09%,6.6
vybuch metanu dul csm,76,"2,578",2.95%,4.1
metro praha,75,"3,114",2.41%,4.3
přepadení v teplicích,74,331,22.36%,2.0
tsunami indonesie,74,"1,534",4.82%,5.1
kometa,73,"1,444",5.06%,6.7
martin gillar,73,338,21.60%,2.7
huawei hrozba,71,459,15.47%,4.0
nejdelší noc,71,"1,097",6.47%,1.0
pervitin,71,"2,027",3.50%,8.4
sirény 22.12.2018,70,302,23.18%,3.3
csm vybuch,69,280,24.64%,2.2
brexit,66,498,13.25%,1.8
kometa wirtanen,66,554,11.91%,3.8
globální pakt o migraci text,65,146,44.52%,1.2
teplice přepadení,65,227,28.63%,2.9
dulni vybuch,64,188,34.04%,1.2
indonésie tsunami,64,701,9.13%,3.2
karvina vybuch,64,851,7.52%,5.9
vybuch metanu,63,794,7.93%,5.0
ježíškova vnoučata,62,"6,110",1.01%,3.3
metro c,62,829,7.48%,4.4
ve kterém městě budou moci obyvatelé jako první oslavit nový rok?,62,138,44.93%,1.0
jakub hurnik,61,188,32.45%,2.3
tsunami 2018,61,683,8.93%,2.6
teplice,60,"1,038",5.78%,2.9
výbuch na čsm,60,338,17.75%,3.2
český rozhlas,59,"6,883",0.86%,5.5
jak dlouho vydrží bramborový salát,57,131,43.51%,2.8
výbuch metanu čsm,57,785,7.26%,3.9
nejlepší filmy 2018,56,"3,100",1.81%,4.1
požár olomouc,56,556,10.07%,3.8
tvrdý brexit,56,121,46.28%,1.6
vánoční bramborový salát,55,"1,150",4.78%,6.0
martin fourcade,52,"1,302",3.99%,3.6
čsm,51,465,10.97%,3.4
nejvyšší budova světa,51,348,14.66%,2.3
aquaman,50,"8,469",0.59%,3.7
teplice přepadení klenotnictví,49,891,5.50%,5.1
zprávy,49,"8,140",0.60%,7.3
dul csm vybuch,48,349,13.75%,2.8
čučkař,45,482,9.34%,3.4
důlní neštěstí 2018,45,145,31.03%,3.0
logo jihomoravsky kraj,45,149,30.20%,2.3
nejdelší noc v roce,45,224,20.09%,2.1
nejoblíbenější jména,45,100,45.00%,1.0
dul csm,44,485,9.07%,2.4
iphone,44,"3,192",1.38%,1.5
izurnal,44,103,42.72%,1.0
michelinská hvězda praha,44,120,36.67%,1.9
prepadeni cerpaci stanice,44,728,6.04%,6.3
csm,43,316,13.61%,1.9
dulni nestesti,43,223,19.28%,2.7
facebook,43,"196,055",0.02%,3.0
gatwick,43,487,8.83%,1.4
vídeň,43,645,6.67%,1.3
výbuch na dole čsm,43,153,28.10%,2.4
loupež teplice,42,160,26.25%,1.8
jak dlouho vydrzi bramborovy salat v lednici,41,92,44.57%,2.0
prepadeni teplice,41,189,21.69%,1.8
sportovec roku,41,503,8.15%,2.5
zpravy,41,378,10.85%,13
klenotnictví teplice,40,167,23.95%,1.8
,"37,471","1,138,412",3.29%,5.9

Day Index,Clicks
12/17/18,"13,028"
12/18/18,"11,904"
12/19/18,"10,732"
12/20/18,"11,200"
12/21/18,"10,923"
12/22/18,"9,886"
12/23/18,"8,833"
,"76,506"
