name,views
Hlavní strana,66180
Speciální:Hledání,42944
Freddie Mercury,6709
Queen,4000
Tomáš Garrigue Masaryk,2376
Česko,2263
Special:Search,2241
Achilles,1987
Speciální:Poslední změny,1976
Speciální:Sledované stránky,1859
Trója,1852
Vznik Československa,1843
Halloween,1797
První světová válka,1795
Jaromír Nohavica,1782
Wikipedie,1769
Daniel Křetínský,1735
Praha,1581
Josef Mengele,1550
Trojská válka,1438
Hugh Grant,1343
Milada Horáková,1312
Bohemian Rhapsody (film),1227
5. listopad,1215
Zmije růžkatá,1191
Tomáš Sedláček (ekonom),1149
Spojené státy americké,1144
Speciální:Přihlásit,1143
Druhá světová válka,1139
Wikipedie:Tabulka barev,1128
Německo,1123
Brian May,1116
Seznam prezidentů Československa,1107
Antonov An-225,1102
Karel IV.,1099
John Deacon,1098
Evropská unie,1089
Noc Guye Fawkese,1089
Československo,1076
Jiří Stránský,1076
Tvoje tvář má známý hlas (5. řada),1061
LP (zpěvačka),1021
Roger Taylor,987
Marie Terezie,980
Rami Malek,975
Nikola Muchová,961
Endosulfan,954
Adolf Hitler,953
První republika,939
Guy Fawkes,937
Vladimir Vysockij,923
Live Aid,920
Jan Amos Komenský,910
USS Indianapolis (CA-35),896
Speciální:ElectronPdf,895
Wiki,894
Anna Kellnerová,857
Troja (film),848
Česká hymna,839
Spojené království,837
Nová Kaledonie,835
Václav Havel,830
David Švehlík,829
Miloš Zeman,814
Bohemian Rhapsody,805
Movember,803
Česká Wikipedie,794
Kanada,781
Letní čas,777
Hans Christian Andersen,776
Alžběta II.,775
Bulat Okudžava,773
Dušičky,765
Ondřej Vetchý,750
Polsko,745
Tuberkulóza,741
Rusko,739
Harry Potter,736
Seznam měst v Česku podle počtu obyvatel,730
Karel Čapek,724
Československé legie,718
Evropa,712
Rakousko-Uhersko,711
Pán prstenů,710
Edvard Beneš,708
Albert Einstein,708
Austrálie,704
Slovensko,698
Zvěrokruh,694
Francie,685
Ájurvéda,685
John Ronald Reuel Tolkien,672
Milan Rastislav Štefánik,667
"Pokání (film, 2007)",665
Linda Rybová,662
Země,659
Pablo Escobar,652
Brno,651
StarDance …když hvězdy tančí,647
Daniel Landa,646
Monica Vittiová,644
Daniela Písařovicová,639
Helena Vondráčková,636
Letecké nehody v Česku a Československu,635
William Shakespeare,635
Kristýna Liška Boková,625
Bedřich Reicin,622
Švýcarsko,621
Mohsova stupnice tvrdosti,620
Jaromír Soukup,620
Alois Rašín,618
Rakousko,610
Speciální:Vytvořit účet,607
Lady Gaga,593
Metro v Praze,592
Jan Hus,591
Petr Kellner,590
Yvetta Simonová,590
ADHD,590
Kraje v Česku,581
Bedřich Smetana,577
Časové pásmo,576
Formát papíru,575
Mnichovská dohoda,569
Barbados,564
Marika Gombitová,563
Svatý Václav,563
Dívka,561
Afrika,557
Čínská lidová republika,557
Sluneční soustava,555
Baroko,554
Synonymum,554
The Pirate Bay,553
Imperativ,552
Letecké nehody vojenských strojů České a Československé republiky,551
Ivan Král,550
Vědec,547
Lucie Žáčková,545
Sametová revoluce,545
Kaki,543
Karel Gott,542
John Bok,541
Izrael,540
Národní divadlo,539
Mexiko,536
Twistor,536
Kategorie:Předení,532
Karel Jaromír Erben,528
Kategorie:Finští stříbrní olympijští medailisté,524
Matematické symboly a značky,523
Alexandr Veliký,522
Kent (království),522
Indie,521
Islám,521
Hektór,518
Fašismus,518
Seznam kulturních památek na Hradčanech,517
Pevný disk,516
A1 Grand Prix,514
Josif Vissarionovič Stalin,512
Felsit,511
Čistka,510
David Prachař,509
Česká Miss 2007,505
New York,504
Itálie,503
Sigmund Freud,502
Aspergerův syndrom,502
Španělsko,502
Antonín Dvořák,497
Stupeň krytí,496
Bipolární afektivní porucha,496
Seznam států světa podle počtu obyvatel,493
Lenka Filipová,491
Božena Němcová,491
Judaismus,488
Belgie,488
Londýn,487
Homonymum,487
Krevní skupina,485
Schizofrenie,481
Třicetiletá válka,479
Titanic,478
Slunce,477
Star Wars,477
Marcus & Martinus,475
Software,473
Ivanka Devátá,470
Pavla Tomicová,469
Václav Kuneš,465
Hardware,463
Státní znak České republiky,462
Wikimedia Commons,462
Nizozemsko,457
Počítač,457
Den díkůvzdání,457
Jenovéfa Boková,454
Buddhismus,452
Pythagorova věta,452
Paul Rodgers,451
Karlův most,450
Ivan Vyskočil (1946),449
Ostrava,448
Zeus,446
Tvoje tvář má známý hlas,445
Kytice (sbírka),445
Wolfgang Amadeus Mozart,445
Pohlavní styk,443
Jan Blažej Santini-Aichel,442
AIDS,441
Adam Mišík,440
Karel Hynek Mácha,439
Atom,437
Wikipedie:Nejlepší články,437
Jemen,436
Alexandr Sergejevič Puškin,435
Operační systém,433
Římské číslice,430
Imagine Dragons,427
Pes domácí,427
Spiknutí střelného prachu,427
Sex,426
Kočka domácí,425
Japonsko,424
Marvel Studios,424
Státní symboly České republiky,423
Martin z Tours,423
Škoda Auto,422
Normostrana,421
1I/ʻOumuamua,420
Švédsko,419
Adam Lambert,418
Juraj Nvota,417
Nový Zéland,415
Speciální:Citovat,414
Seznam osobností vyznamenaných 28. října 2018,413
Čarodějky (seriál),413
Základní deska,412
Keltové,412
Specialisté,412
Maďarsko,411
Cyril a Metoděj,411
Napoleon Bonaparte,410
Plzeň,409
Organizace spojených národů,409
Sovětský svaz,408
Bitva na Bílé hoře,406
Norsko,406
Akce K,405
Vikingové,403
Seznam států světa podle HDP na obyvatele,399
Mars (planeta),399
Donald Trump,398
Jiří Dvořák (herec),398
Měsíc,398
Vladimir Putin,397
Josef II.,397
Ph.D.,397
Brazílie,396
Streptokok,396
Ondřej Sokol,396
YouTube,395
Velkomoravská říše,395
Česká vlajka,391
Seznam řek v Česku,391
Miss České republiky 2007,390
Počítačová síť,388
Zavináč,387
Pravěk,387
Říjnová revoluce,386
Bakterie,386
Maroko,385
Modrý kód,384
Irsko,384
Lil Peep,384
Romantismus,384
Voda,383
Ukrajina,383
Dánsko,382
Pán prstenů: Společenstvo Prstenu,382
Periodická tabulka,382
Johann Sebastian Bach,381
Zanzibar,381
Airbus A380,380
Václav Klaus,380
Křesťanství,380
Státy v USA,379
Seznam historických výročí,378
Merkur (planeta),378
Severoatlantická aliance,377
Helena (mytologie),377
Michael Jackson,376
Den vzniku samostatného československého státu,375
NKVD,375
Zdeněk Chlopčík,375
Staroměstský orloj,375
Romantismus (literatura),374
Paris (mytologie),373
Andrej Babiš,373
Marvel Cinematic Universe,372
Marihuana,372
Hinduismus,371
Dna,367
Ježíš Kristus,367
Olomouc,367
Syfilis,366
Internet,366
Nacismus,365
Klasicismus,363
Spojené arabské emiráty,363
Karel Kramář,363
Olga Lounová,363
Zlato,361
Letecké nehody Českých aerolinií,360
Turecko,360
Lucie Hadašová,358
Seznam mezinárodních směrových čísel,357
Hra o trůny (seriál),357
Řecko,357
Přemyslovci,357
Rakovina,356
Bechtěrevova nemoc,356
Agamemnón,355
Venuše (planeta),355
Prezident České republiky,354
Jupiter (planeta),354
Egypt,354
Národní muzeum,354
Speciální:Kniha,354
Dějiny počítačů,352
Karel Kryl,352
Wikipedie:Ověřitelnost,352
Oscar Wilde,352
Saúdská Arábie,351
Symfonie č. 9 (Dvořák),351
Veronika Arichteva,350
Medvěd hnědý,350
Univerzita Karlova,349
Radek Jaroš,348
Klement Gottwald,347
Kondenzátor,345
Král Ubu,345
Demokracie,345
Pardubice,345
Tereza Kostková,344
Pražské jaro 1968,342
Fantomová končetina,342
Výkon,342
Československé perutě v RAF,342
Crohnova nemoc,341
Prsteny moci,341
František Josef I.,341
Amoniak,341
Romeo a Julie,341
Methylcelulóza,340
Den boje za svobodu a demokracii,340
Hradec Králové,340
Island,340
Lidský penis,339
Armáda České republiky,339
Procesor,338
Seznam kulturních památek v Hranicích (okres Přerov),337
"Katedrála svatého Víta, Václava a Vojtěcha",336
Kotvičník zemní,336
Akademický titul,335
6. listopad,335
Fotosyntéza,334
České aerolinie,334
Speciální:Nové stránky,333
Vltavín,332
Írán,332
Židé,332
Listina základních práv a svobod,331
Jean-Paul Belmondo,330
Eva Burešová,330
Diamant,330
Metamfetamin,330
Vodík,330
Předpjatý beton,329
České národní obrození,329
17. listopad,329
Antonov An-124,329
Bradley Cooper,328
Ed Sheeran,328
Wikipedie:Pod lípou,328
Renesance,328
RAM,328
Starověký Řím,327
Bible,327
Rozměry lidského penisu,327
Seznam prezidentů Spojených států amerických,327
Slované,327
Josef Vinklář,326
Odysseus,326
Saturn (planeta),326
Eminem,326
Jan Nepomucký,325
Ethanol,325
AC Sparta Praha,325
Velká čistka,325
Pius XIII.,324
Seznam států světa podle rozlohy,324
Speciální:Mobilní nastavení,324
Čína,323
Trojský kůň,323
Středočeský kraj,321
Buňka,321
Extáze (droga),321
Jaromír Jágr,320
Sedm divů světa,320
Daň z přidané hodnoty,320
Vroubenka americká,320
Den válečných veteránů,320
Desatero,319
Vladimir Iljič Lenin,319
Vídeň,319
Škoda Octavia,319
Uma Thurman,318
Černý pátek (nakupování),318
Oxid uhličitý,318
Inflace,318
Sparta,317
Elektrické napětí,316
Martin,316
Ludwig van Beethoven,315
Seznam prezidentů České republiky,314
Organizace pro hospodářskou spolupráci a rozvoj,314
Sulejman I.,314
Kuba,314
Pražský hrad,314
Kokain,313
Ropa,313
Seznam chemických prvků,313
Přemysl Otakar II.,312
Obsedantně kompulzivní porucha,312
Černobylská havárie,312
Prokletí básníci,312
Jan Werich,312
Rytmus (rapper),311
Paříž,311
Seznam evropských států,310
Václav Klaus mladší,310
Jaroslav Seifert,309
Viktorie (britská královna),309
Socha Svobody,309
Vánoce,308
SWOT,307
Vltava,307
28. říjen,306
Newtonovy pohybové zákony,306
Elektrický odpor,306
Hongkong,306
"Zrodila se hvězda (film, 2018)",305
